CODIGOISIMP;AUTORIZACAO;DATAPUBLICACAO;RAZAOSOCIAL;CNPJ;ENDERECO;COMPLEMENTO;BAIRRO;CEP;UF;MUNICIPIO;DISTRIBUIDORA;DATAVINCULACAO;CLASSE
1230192;GLP/MG0237882;27/12/2016;SUPER GAS FURTADO LTDA;24668447000100;RUA ARTUR BERNARDES,  1253;;MANGAABEIRAS;38550000;MG;COROMANDEL;INDEPENDENTE;19/02/2025;1 AREA  - Classe II - NBR 15514
1061121;001/GLP/PR0002247;23/11/2007;BONNO GAS COMERCIO DE GAS LTDA;05823241000154;RUA ARAPONGAS,  397;TERREO;CAPELA VELHA;83706160;PR;ARAUCARIA;INDEPENDENTE;21/12/2019;1 AREA  - Classe II - NBR 15514
1035356;001/GLP/PR0002316;02/02/2005;ANDERSON TORESAN LTDA;05772111000130;RUA NEREU RAMOS,  69;;TREVO DA GUARANY;85501370;PR;PATO BRANCO;NACIONAL GAS BUTANO;28/09/2023;1 AREA  - Classe IV - Port. DNC 27/96
1046643;001/GLP/SP0008390;11/09/2006;CIDIGAS COMERCIO DE GAS LTDA;00302480000145;RUA CARLOS NUNES DE PAULA,  1954;;JARDIM COLONIAL;12234000;SP;SAO JOSE DOS CAMPOS;ULTRAGAZ;21/08/2006;1 AREA  - Classe II - NBR 15514
1043636;001/GLP/RS0006697;27/04/2006;LUIZ ANTONIO BERTOLETTI;97266456000130;RUA SAO PEDRO,  725;;LOMBA DO PINHEIRO;91570000;RS;PORTO ALEGRE;LIQUIGAS;05/04/2006;1 AREA  - Classe IV - NBR 15514
1046362;001/GLP/RS0008233;29/08/2006;IVO QUANDT TIMM;01341884000100;RUA DONA FERMINA MOREIRA,  452;;VILA DO PRADO;96600000;RS;CANGUCU;LIQUIGAS;07/11/2022;1 AREA  - Classe II - NBR 15514
1064552;001/GLP/SP0020463;18/04/2008;ALENCAR PEREIRA;04702847000179;RUA ARATU,  165;;ELDORADO;9972100;SP;DIADEMA;LIQUIGAS;26/04/2023;1 AREA  - Classe II - NBR 15514
1054100;001/GLP/RS0013869;29/03/2007;ROGÉRIO A. BORGES;07037836000100;RUA ITARARÉ,  26;;CENTRO;99890000;RS;MAXIMILIANO DE ALMEIDA;ULTRAGAZ;19/03/2007;1 AREA  - Classe I - Port. DNC 27/96
1051770;001/GLP/SP0012271;15/02/2007;ODIMAS JOSÉ DIAS - ME.;59399055000169;RUA CONSELHEIRO RUI BARBOSA,  2.894;;VILA NOVA;15370000;SP;PEREIRA BARRETO;ULTRAGAZ;08/02/2007;1 AREA  - Classe II - Port. DNC 27/96
1050101;001/GLP/RS0010921;16/01/2007;MÔNICA DOS SANTOS FLORES - ME;08201168000177;ESTRADA VOLTA DA CHARQUEADA,  3264;SALA 01;MARINA;96505830;RS;CACHOEIRA DO SUL;ULTRAGAZ;08/11/2016;1 AREA  - Classe II - NBR 15514
1043963;001/GLP/RS0006863;15/05/2006;COMERCIO DE GAS VOGELMANN LTDA;05728650000171;RUA LUDOVICO DELLA MEA,  346;SALA 01;VERA CRUZ;99040170;RS;PASSO FUNDO;ULTRAGAZ;25/11/2020;1 AREA  - Classe III - NBR 15514
1047782;001/GLP/RJ0009065;09/11/2006;SUPERGASBRAS ENERGIA LTDA;19791896009744;RUA AVELINO ALVES PEREIRA,  165;;BARRA MANSA;27335430;RJ;BARRA MANSA;SUPERGASBRAS ENERGIA;06/07/2006;1 AREA  - Classe VI - NBR 15514
1101537;GLP/RS0172461;29/08/2008;MARIO KHUN ME;92594522000187;RUA CEARA,  320;;RINCAO;93348060;RS;NOVO HAMBURGO;SUPERGASBRAS ENERGIA;21/08/2008;1 AREA  - Classe I - Port. DNC 27/96
1102413;GLP/SE0172722;02/09/2008;ANTÔNIO CESAR BISPO DOS SANTOS;02795213000182;AVENIDA LUCIO PRADO,  S/N;;CENTRO;49960000;SE;JAPARATUBA;SUPERGASBRAS ENERGIA;16/01/2017;1 AREA  - Classe II - Port. DNC 27/96
1100103;GLP/MG0057798;10/07/2008;IMPERIO DO GAS DE MURIAE LTDA;06955394000118;RUA MANOEL FLORENTINO DE CARVALHO,  275;;CARDOSO DE MELO;36887228;MG;MURIAE;SUPERGASBRAS ENERGIA;28/07/2021;1 AREA  - Classe IV - NBR 15514
1100993;GLP/SP0171751;12/08/2008;J. C. DA SILVA ARAÇATUBA ME;03509665000113;RUA MARIA JOSEFA MARTINEZ MARTINELLI,  306;;AGUA BRANCA II;16012698;SP;ARACATUBA;ULTRAGAZ;08/12/2012;1 AREA  - Classe I - Port. DNC 27/96
1061700;001/GLP/PR0018951;08/01/2008;LIVAELKI TORRES MAGARI & CIA. LTDA.;04769893000195;AVENIDA CRISPIM FURQUIM DE SIQUEIRA,  851;;CENTRO;83560000;PR;ITAPERUCU;COPA ENERGIA;12/12/2007;1 AREA  - Classe I - Port. DNC 27/96
1063377;001/GLP/RS0019987;04/03/2008;NARA E R GUINGUER ME;08726246000157;RUA PASSO FUNDO,  592;;VIEGAS;96180000;RS;CAMAQUA;LIQUIGAS;26/02/2008;1 AREA  - Classe I - Port. DNC 27/96
1061511;001/GLP/RS0018824;24/12/2007;GILBERTO TADEU ALVES DE SOUZA;07579655000105;AVENIDA CORONEL VICTOR DUMONCEL,  1460;;CENTRO;98240000;RS;SANTA BARBARA DO SUL;SUPERGASBRAS ENERGIA;10/09/2007;1 AREA  - Classe I - Port. DNC 27/96
1150755;GLP/MG0178549;27/07/2009;J.CAMPOS TOLEDO;10696922000139;RUA LINDOLFO CALIAN,  S/N;;CENTRO;36150000;MG;RIO NOVO;INDEPENDENTE;05/05/2016;1 AREA  - Classe III - NBR 15514
1040110;GLP/PR0182028;15/12/2009;SAVECAR COMERCIO DE COMBUSTIVEIS LTDA;07423820000135;AVENIDA PRESIDENTE EPITACIO,  337;;CENTRO;85940000;PR;QUATRO PONTES;LIQUIGAS;27/07/2009;1 AREA  - Classe I - NBR 15514
1151030;GLP/ES0176652;05/02/2009;D.F.G COMERCIO DE GAS LTDA;03505769000150;RUA MARIA JULIA SIMOES DE ALMEIDA,  12;;CORAMARA;29313420;ES;CACHOEIRO DE ITAPEMIRIM;NACIONAL GAS BUTANO;19/01/2009;1 AREA  - Classe III - NBR 15514
1013393;GLP/SC0175123;12/11/2008;POSTO NEREUENSE LTDA;05015792000191;AVENIDA DESEMBARGADOR ÉRICO TORRES,  239;;CENTRO;89184000;SC;PRESIDENTE NEREU;LIQUIGAS;05/11/2008;1 AREA  - Classe I - Port. DNC 27/96
